Name,quant_12,quant_11,quant_2,quant_3,quant_4,quant_10,quant_1
Pmin_ref_seq_9128,11.250541,2.345555,0.0,4.530508,48.856645,0.0,0.0
Pmin_ref_seq_9129,0.0,0.749726,0.0,1.239438,8.49591,0.0,0.0
Pmin_ref_seq_9130,0.0,2.05572,0.0,13.901212,3.736727,0.0,0.0
Pmin_ref_seq_9131,0.897272,1.510604,0.0,3.096573,1.316469,0.0,0.0
Pmin_ref_seq_9132,10.177609,4.700879,0.0,18.842155,11.065232,0.0,0.0
Pmin_ref_seq_9133,5.793593,0.612668,0.0,0.267974,1.00168,0.0,0.0
Pmin_ref_seq_9134,0.620369,0.0,0.0,1.52899,10.114957,0.0,0.0
Pmin_ref_seq_9135,16.486291,14.026667,0.0,35.705859,41.087438,0.0,0.0
Pmin_ref_seq_9136,2.501784,1.198446,0.0,1.342696,1.669937,0.0,0.0
Pmin_ref_seq_9137,11.047966,5.63763,0.0,3.724582,4.285817,0.0,0.0
Pmin_ref_seq_9138,16.11178,8.190348,0.0,2.30059,12.024104,0.0,0.0
Pmin_ref_seq_9139,0.956013,0.821244,5.660092,2.87787,1.411123,2.140499,1.774367
Pmin_ref_seq_9140,0.415325,0.0,4.312483,8.323039,0.0,0.0,0.0
