"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_fem"	"Healthy_male"
"Pmin_ref_seq_4427"	15.255496524423	13.8583824601624	1	-1
"Pmin_ref_seq_4610"	15.2033745813756	13.8073448984073	1	-1
"Pmin_ref_seq_3794"	14.9523958015232	13.5606767691494	1	0
"Pmin_ref_seq_8175"	14.8098355485675	13.4223848009864	1	-1
"Pmin_ref_seq_2981"	14.7592593621316	13.3739271284192	1	0
"Pmin_ref_seq_6335"	14.3328643042483	12.9559042716261	1	0
"Pmin_ref_seq_3335"	14.0303573932677	12.6595722677295	1	-1
"Pmin_ref_seq_7776"	13.810981247671	12.4452756476621	1	-1
"Pmin_ref_seq_6625"	13.6921510897025	12.3304667636265	1	0
"Pmin_ref_seq_936"	13.6208990745719	12.2623623252904	1	-1
"Pmin_ref_seq_2640"	13.5692141143926	12.2125045790462	1	0
"Pmin_ref_seq_8518"	13.4948804947223	12.1401450286017	1	-1
"Pmin_ref_seq_6071"	13.1337076534154	11.7849447424541	1	-1
"Pmin_ref_seq_2650"	12.9845139387782	11.638552396965	1	-1
"Pmin_ref_seq_8733"	12.7587008509543	11.4156249973786	1	-1
"Pmin_ref_seq_5977"	12.4878067047304	11.1523335745315	1	0
"Pmin_ref_seq_437"	12.1496377978314	10.8234846493718	1	-1
"Pmin_ref_seq_8453"	11.8983331428319	10.5785869838555	1	-1
"Pmin_ref_seq_2817"	11.8663271257061	10.5483943074932	1	-1
"Pmin_ref_seq_2782"	11.6302257887149	10.3203605922501	1	-1
"Pmin_ref_seq_6651"	11.4325654567511	10.1288730776528	1	-1
"Pmin_ref_seq_4541"	11.2791936561606	9.98072331771714	1	-1
"Pmin_ref_seq_5804"	10.9321723741758	9.64141921872202	1	-1
"Pmin_ref_seq_6664"	10.6927133875481	9.41037705525914	1	-1
"Pmin_ref_seq_1564"	10.6141536447675	9.33431087616274	1	-1
"Pmin_ref_seq_3305"	10.3666625167273	9.09094413317401	1	-1
"Pmin_ref_seq_6296"	10.2651778259637	8.99435755239643	1	-1
"Pmin_ref_seq_5768"	10.1470598064936	8.87947451609188	1	0
"Pmin_ref_seq_592"	9.92654023028047	8.66535350102541	1	-1
"Pmin_ref_seq_6695"	9.76661018092625	8.51172910846044	1	0
"Pmin_ref_seq_4659"	9.29332320896928	8.05154518217382	1	0
