"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_fem"	"Infected_fem"
"Pmin_ref_seq_3853"	71.0154903561218	69.2811341235428	-1	1
"Pmin_ref_seq_7446"	70.6801484569849	68.9481461297994	-1	1
"Pmin_ref_seq_1749"	69.8648962471281	68.1398800408033	-1	1
"Pmin_ref_seq_7621"	69.5504389558534	67.8277267044382	-1	1
"Pmin_ref_seq_6040"	68.2057802128192	66.4899073859343	-1	1
"Pmin_ref_seq_3382"	67.7541041917453	66.0404874451646	-1	1
"Pmin_ref_seq_140"	66.6605125151099	64.958003649783	-1	1
"Pmin_ref_seq_1044"	66.0396667788201	64.3393457996413	-1	1
"Pmin_ref_seq_6972"	65.7116880633396	64.0135440034151	-1	1
"Pmin_ref_seq_6565"	65.4549698881362	63.7611472019943	-1	1
"Pmin_ref_seq_7107"	65.4092715937098	63.7175935760346	-1	1
"Pmin_ref_seq_5968"	64.9634869212568	63.2739430330942	-1	1
"Pmin_ref_seq_4527"	64.9162853265867	63.228865132054	-1	1
"Pmin_ref_seq_3718"	63.2261323335606	61.5408254983413	-1	1
"Pmin_ref_seq_1054"	63.1751478417667	61.4919441316351	-1	1
"Pmin_ref_seq_9825"	62.8864870994334	61.2053763788077	-1	1
"Pmin_ref_seq_5766"	61.075368532014	59.3984137711595	-1	1
"Pmin_ref_seq_9817"	60.6529309868088	58.978039386518	-1	1
"Pmin_ref_seq_873"	60.4515234814745	58.7786852868147	-1	1
"Pmin_ref_seq_7068"	60.3950846231468	58.7242901709971	-1	1
"Pmin_ref_seq_9876"	60.3119377265733	58.643177444334	-1	1
"Pmin_ref_seq_4664"	60.2837974216799	58.6170618260071	-1	1
"Pmin_ref_seq_3991"	60.2583110654096	58.5935907609721	-1	1
"Pmin_ref_seq_6226"	59.9548564903047	58.2941389283208	-1	1
"Pmin_ref_seq_7510"	58.8197757128279	57.1630243380617	-1	1
"Pmin_ref_seq_4172"	57.8303484530659	56.1755666711625	-1	1
"Pmin_ref_seq_6318"	56.6618222916241	55.0090012104863	-1	1
"Pmin_ref_seq_4496"	55.686019191391	54.0370931541367	-1	1
"Pmin_ref_seq_5341"	55.4603321313588	53.8133405938817	-1	1
"Pmin_ref_seq_5340"	55.4249763023484	53.7799106859073	-1	1
"Pmin_ref_seq_5660"	54.98386669451	53.3407184961147	-1	1
"Pmin_ref_seq_6180"	54.9239312622782	53.2826920536902	-1	1
"Pmin_ref_seq_7250"	54.3691660895043	52.7317198699334	-1	1
"Pmin_ref_seq_6151"	53.9972713967388	52.3635853260412	-1	1
"Pmin_ref_seq_3597"	53.8525960024647	52.2226378042863	-1	1
"Pmin_ref_seq_102"	53.7726917559127	52.1445855625959	-1	1
"Pmin_ref_seq_247"	53.7297138523164	52.103451799698	-1	1
"Pmin_ref_seq_7400"	53.4719103327609	51.8493132342289	-1	1
"Pmin_ref_seq_9553"	53.0983118897803	51.47753573514	-1	1
"Pmin_ref_seq_5571"	51.3968344554287	49.7814757658206	-1	1
"Pmin_ref_seq_5374"	51.2960034457216	49.6824356637315	-1	1
"Pmin_ref_seq_6154"	51.2125186015625	49.6007343723127	-1	1
"Pmin_ref_seq_2458"	51.0859784541752	49.4759704829512	-1	1
"Pmin_ref_seq_511"	51.0363848539766	49.4281459054915	-1	1
"Pmin_ref_seq_459"	50.7633631138135	49.1568860114847	-1	1
"Pmin_ref_seq_3795"	49.9233346686622	48.3186122939	-1	1
"Pmin_ref_seq_4278"	49.5209311819185	47.919697135002	-1	1
"Pmin_ref_seq_7644"	49.1820197966911	47.5859662622784	-1	1
"Pmin_ref_seq_693"	49.0524517255667	47.4581113865981	-1	1
"Pmin_ref_seq_8088"	48.8989930313129	47.3063591561583	-1	1
"Pmin_ref_seq_8948"	48.7930014637055	47.2020673734288	-1	1
"Pmin_ref_seq_7661"	48.7650628688799	47.1758219366227	-1	1
"Pmin_ref_seq_410"	47.8103490984923	46.2261483908746	-1	1
"Pmin_ref_seq_5531"	47.7408305383538	46.1582969901036	-1	1
"Pmin_ref_seq_7994"	47.6390998708009	46.0598815637022	-1	1
"Pmin_ref_seq_2351"	46.1307143911814	44.5564219722239	-1	1
"Pmin_ref_seq_7326"	45.9434214967487	44.3707587025248	-1	1
