"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_male"	"Infected_male"
"Pmin_ref_seq_5495"	177.238619730037	175.513603523713	-1	1
"Pmin_ref_seq_140"	175.114020293026	173.39359983839	-1	1
"Pmin_ref_seq_5660"	174.186643124059	172.468502435718	-1	1
"Pmin_ref_seq_1236"	173.198981070036	171.483108243151	-1	1
"Pmin_ref_seq_4239"	171.513293610338	169.799676863757	-1	1
"Pmin_ref_seq_9418"	171.361922594631	169.650550268973	-1	1
"Pmin_ref_seq_8948"	171.268412978829	169.559273534603	-1	1
"Pmin_ref_seq_7250"	168.78413037968	167.079422550253	-1	1
"Pmin_ref_seq_3597"	168.742571292224	167.040062426897	-1	1
"Pmin_ref_seq_5341"	168.637307151708	166.93698617253	-1	1
"Pmin_ref_seq_6226"	162.226839492414	160.530861494246	-1	1
"Pmin_ref_seq_4664"	159.504199940801	157.820996230669	-1	1
"Pmin_ref_seq_3718"	159.312151749115	157.631041028489	-1	1
"Pmin_ref_seq_7915"	158.482827027729	156.805872266874	-1	1
"Pmin_ref_seq_5968"	157.974517498816	156.301679304156	-1	1
"Pmin_ref_seq_352"	157.017003159396	155.346208707247	-1	1
"Pmin_ref_seq_1427"	155.320780332917	153.654044737244	-1	1
"Pmin_ref_seq_7560"	152.75497333138	151.094255769396	-1	1
"Pmin_ref_seq_5456"	152.393692643333	150.736941268566	-1	1
"Pmin_ref_seq_4440"	149.556172392672	147.905303200132	-1	1
"Pmin_ref_seq_9200"	148.589229515521	146.942237978043	-1	1
"Pmin_ref_seq_410"	148.291342002284	146.646276385843	-1	1
"Pmin_ref_seq_4172"	146.112881532007	144.473542958759	-1	1
"Pmin_ref_seq_4278"	145.061384959368	143.423938739797	-1	1
"Pmin_ref_seq_8088"	144.890273005788	143.254710930092	-1	1
"Pmin_ref_seq_3982"	144.764027555682	143.13220942112	-1	1
"Pmin_ref_seq_3276"	144.08427032425	142.454312126072	-1	1
"Pmin_ref_seq_3048"	143.619390450389	141.991284257072	-1	1
"Pmin_ref_seq_982"	142.421292930512	140.795030877894	-1	1
"Pmin_ref_seq_178"	139.795722900219	138.178565887205	-1	1
"Pmin_ref_seq_6154"	138.885442178838	137.27008348923	-1	1
"Pmin_ref_seq_9318"	138.40424920951	136.79068142752	-1	1
"Pmin_ref_seq_7068"	137.983798263969	136.372014034719	-1	1
"Pmin_ref_seq_397"	137.37765691441	135.767648943186	-1	1
"Pmin_ref_seq_5374"	136.705145944541	135.096906996056	-1	1
"Pmin_ref_seq_4496"	135.560574304517	133.954097202188	-1	1
"Pmin_ref_seq_9105"	134.286426605968	132.681704231206	-1	1
"Pmin_ref_seq_5571"	133.790027679938	132.187052971445	-1	1
"Pmin_ref_seq_5488"	130.589507093464	128.990006759356	-1	1
"Pmin_ref_seq_3470"	129.955595558823	128.35954202441	-1	1
"Pmin_ref_seq_5092"	129.919181205477	128.324840866508	-1	1
"Pmin_ref_seq_4978"	129.845887986542	128.253254111388	-1	1
"Pmin_ref_seq_4609"	129.192524416008	127.601590325731	-1	1
"Pmin_ref_seq_4760"	128.6585114547	127.070957105074	-1	1
"Pmin_ref_seq_679"	128.100240685713	126.514366394206	-1	1
"Pmin_ref_seq_7321"	127.869874291609	126.285673583992	-1	1
