"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_male"	"Infected_male"
"Pmin_ref_seq_4713"	68.3297815265879	66.9455046870325	1	-1
"Pmin_ref_seq_5977"	66.0257353330868	64.655970876601	1	-1
"Pmin_ref_seq_4581"	64.5755931652127	63.2129070059776	1	-1
"Pmin_ref_seq_5252"	57.5782788907845	56.2493506882702	1	-1
"Pmin_ref_seq_5014"	56.6014438233423	55.2807881467939	1	-1
"Pmin_ref_seq_8314"	55.9782715683941	54.6612425891794	1	-1
"Pmin_ref_seq_7791"	54.836746362872	53.5242085765458	1	-1
"Pmin_ref_seq_4086"	53.9370914809839	52.6307643446727	1	-1
"Pmin_ref_seq_1977"	51.9941514916322	50.6982688141624	1	-1
"Pmin_ref_seq_6112"	51.125815430925	49.8367587404484	1	-1
"Pmin_ref_seq_3623"	50.5459542383496	49.2602707258551	1	-1
"Pmin_ref_seq_9477"	49.9658397236856	48.6826690117319	1	-1
"Pmin_ref_seq_5042"	49.0507866856886	47.7709439170839	1	-1
"Pmin_ref_seq_6333"	46.7152720676717	45.4460722977828	1	-1
"Pmin_ref_seq_5876"	46.4738014283168	45.206216137915	1	-1
"Pmin_ref_seq_6002"	46.3237147291514	45.0569344333859	1	-1
"Pmin_ref_seq_673"	46.2840021864826	45.0188274174325	1	-1
"Pmin_ref_seq_8214"	45.2033132846076	43.9468643603239	1	-1
"Pmin_ref_seq_6647"	45.1463084540128	43.891427381547	1	-1
"Pmin_ref_seq_6276"	43.9035892246397	42.6556942730346	1	-1
"Pmin_ref_seq_2922"	43.8582363398565	42.6111107320874	1	-1
"Pmin_ref_seq_9822"	43.8035516298654	42.5579606331698	1	-1
"Pmin_ref_seq_2547"	43.5664859643231	42.3231867644071	1	-1
"Pmin_ref_seq_5238"	42.7635772453208	41.5263310281529	1	-1
"Pmin_ref_seq_5250"	42.1881003632227	40.9560821737164	1	-1
"Pmin_ref_seq_572"	41.7221978065698	40.4938757626234	1	-1
"Pmin_ref_seq_9593"	39.6407535071838	38.4269092866061	1	-1
"Pmin_ref_seq_3007"	37.3662960315694	36.1643895168116	1	-1
"Pmin_ref_seq_7719"	36.4230778095012	35.2273608695611	1	-1
"Pmin_ref_seq_5107"	35.4381514667283	34.2458354406586	1	-1
"Pmin_ref_seq_9681"	35.3186541039209	34.1270150764012	1	-1
"Pmin_ref_seq_4658"	34.3247543155083	33.1411580082441	1	-1
"Pmin_ref_seq_9728"	32.2368562420463	31.0714665611143	1	-1
"Pmin_ref_seq_5707"	32.0620163215812	30.8978983677128	1	-1
"Pmin_ref_seq_8464"	31.1766402999104	30.0231842622886	1	-1
"Pmin_ref_seq_7260"	28.9643912597426	27.8285400642746	1	-1
"Pmin_ref_seq_1115"	28.8061681704439	27.6715051959139	1	-1
"Pmin_ref_seq_2778"	28.2806947985681	27.1495771048026	1	-1
"Pmin_ref_seq_1530"	28.1504746934851	27.0205323576276	1	-1
"Pmin_ref_seq_2701"	27.8212473993924	26.6971346071957	1	-1
"Pmin_ref_seq_6541"	27.527724034695	26.4064969307357	1	-1
"Pmin_ref_seq_3442"	27.0526854032057	25.9360358855721	1	-1
"Pmin_ref_seq_6634"	27.0093098284151	25.8932291314023	1	-1
