"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_male"	"Infected_male"
"Pmin_ref_seq_8837"	300	298.069011806158	1	-1
"Pmin_ref_seq_8908"	300	298.069011806158	1	-1
"Pmin_ref_seq_8996"	300	298.069011806158	-1	1
"Pmin_ref_seq_9005"	300	298.069011806158	-1	1
"Pmin_ref_seq_9266"	300	298.069011806158	-1	1
"Pmin_ref_seq_9568"	300	298.069011806158	0	-1
"Pmin_ref_seq_9677"	300	298.069011806158	1	-1
"Pmin_ref_seq_9678"	300	298.069011806158	1	-1
"Pmin_ref_seq_9702"	300	298.069011806158	1	-1
"Pmin_ref_seq_9863"	300	298.069011806158	-1	1
"Pmin_ref_seq_9922"	300	298.069011806158	-1	1
"Pmin_ref_seq_9953"	300	298.069011806158	1	-1
"Pmin_ref_seq_9972"	300	298.069011806158	-1	1
"Pmin_ref_seq_9980"	300	298.069011806158	1	-1
"Pmin_ref_seq_3267"	299.169511254426	297.242219206143	-1	1
"Pmin_ref_seq_411"	298.931283749862	297.007656655666	0	-1
"Pmin_ref_seq_7756"	296.969830405123	295.049837595582	0	-1
"Pmin_ref_seq_6055"	292.708275892834	290.791887207562	-1	1
"Pmin_ref_seq_4179"	291.375484085807	289.462669860893	0	-1
"Pmin_ref_seq_9548"	291.217930699889	289.308661755739	-1	1
"Pmin_ref_seq_6729"	287.472378981789	285.566626611363	1	-1
"Pmin_ref_seq_7581"	287.287843083695	285.385579041115	1	-1
"Pmin_ref_seq_5043"	284.446113149917	282.547309639446	NA	NA
"Pmin_ref_seq_9969"	280.237789327699	278.342418993066	-1	1
"Pmin_ref_seq_7010"	278.735829706915	276.843865620975	-1	1
"Pmin_ref_seq_4130"	278.328253199696	276.439668854407	-1	1
"Pmin_ref_seq_5137"	277.584776633974	275.699545930692	-1	1
"Pmin_ref_seq_6967"	277.220995304647	275.339092544714	-1	1
"Pmin_ref_seq_4277"	273.091495647524	271.212895523141	1	-1
"Pmin_ref_seq_2773"	263.731494561218	261.856172146597	1	-1
"Pmin_ref_seq_2467"	263.654470696338	261.782401439114	-1	1
"Pmin_ref_seq_5185"	263.459518539202	261.590678252108	1	-1
"Pmin_ref_seq_2387"	263.269862122232	261.404226975013	-1	1
"Pmin_ref_seq_7326"	260.49542681878	258.632973330348	-1	1
"Pmin_ref_seq_6081"	259.348083027518	257.488788058331	-1	0
"Pmin_ref_seq_7056"	258.028146381587	256.171987126252	-1	1
"Pmin_ref_seq_4517"	257.935012347762	256.081966327851	-1	1
"Pmin_ref_seq_5090"	257.125864389631	255.275909446697	0	-1
"Pmin_ref_seq_6945"	257.010091780618	255.163206069412	-1	1
"Pmin_ref_seq_6552"	256.862402252861	255.018564234738	1	-1
"Pmin_ref_seq_6632"	256.81206770829	254.971256144797	0	-1
"Pmin_ref_seq_7498"	254.784602452829	252.946796399476	1	-1
"Pmin_ref_seq_693"	253.768333146204	251.9335119464	-1	1
"Pmin_ref_seq_4441"	247.756533597203	245.924676876362	1	-1
"Pmin_ref_seq_543"	239.699084258055	237.870171917861	1	-1
"Pmin_ref_seq_9415"	239.539146999123	237.713159211946	-1	1
"Pmin_ref_seq_9857"	236.715850883463	234.89276808693	-1	1
"Pmin_ref_seq_5668"	234.943912327878	233.123715219583	0	-1
"Pmin_ref_seq_7107"	232.169084043985	230.351753576341	-1	1
"Pmin_ref_seq_5071"	231.425778524216	229.611295899445	1	-1
"Pmin_ref_seq_7408"	226.698280261133	224.886626926381	-1	1
"Pmin_ref_seq_455"	224.369508700065	222.560666342647	-1	1
"Pmin_ref_seq_8677"	221.251309817244	219.44526036001	1	-1
"Pmin_ref_seq_780"	220.406577675323	218.603303272144	-1	0
"Pmin_ref_seq_264"	220.150268335789	218.349751367155	-1	1
"Pmin_ref_seq_52"	219.137464892237	217.339687960969	NA	0
"Pmin_ref_seq_4721"	208.818013421388	207.022959348456	-1	1
"Pmin_ref_seq_9831"	205.276814496265	203.484466316708	-1	1
"Pmin_ref_seq_4217"	204.069349185512	202.279690144466	-1	1
"Pmin_ref_seq_7783"	203.572827046228	201.785840595044	1	-1
"Pmin_ref_seq_7966"	201.119976770198	199.335646562657	-1	1
"Pmin_ref_seq_1224"	199.046612738533	197.264922627159	-1	1
"Pmin_ref_seq_1653"	197.379103048545	195.600037080997	-1	1
"Pmin_ref_seq_8198"	193.847855131937	192.071397547496	NA	0
"Pmin_ref_seq_7953"	193.392816284149	191.618951510287	-1	1
"Pmin_ref_seq_5340"	193.155033356585	191.383746005611	-1	1
"Pmin_ref_seq_718"	192.919599821659	191.150874687449	-1	1
"Pmin_ref_seq_5902"	191.879998740101	190.113820794904	-1	1
"Pmin_ref_seq_3240"	191.498853436402	189.735207827721	-1	1
"Pmin_ref_seq_6694"	189.661841892702	187.900713940243	1	-1
"Pmin_ref_seq_689"	189.450027674227	187.691402866921	-1	1
"Pmin_ref_seq_7341"	189.126873949145	187.370737942243	-1	1
"Pmin_ref_seq_873"	188.412060395303	186.658399007528	-1	1
"Pmin_ref_seq_5755"	187.455670738572	185.704469949345	NA	0
"Pmin_ref_seq_7082"	186.242551480009	184.49379742673	-1	1
"Pmin_ref_seq_1054"	184.817352170902	183.071031146294	-1	1
"Pmin_ref_seq_4688"	183.531581070807	181.787679520322	-1	1
"Pmin_ref_seq_5406"	183.455954972589	181.714459491869	-1	0
"Pmin_ref_seq_9825"	180.543365891183	178.804263223579	-1	1
"Pmin_ref_seq_4509"	180.187318528709	178.450595562851	1	-1
"Pmin_ref_seq_3554"	179.223059786381	177.488703553802	-1	1
"Pmin_ref_seq_4527"	178.263879221576	176.53187689439	-1	1
"Pmin_ref_seq_6587"	177.823355061421	176.09369395005	NA	-1
"Pmin_ref_seq_9817"	177.562519523173	175.835187074121	-1	1
"Pmin_ref_seq_5495"	177.238619730037	175.513603523713	-1	1
"Pmin_ref_seq_6050"	175.476209966771	173.753497715356	-1	0
"Pmin_ref_seq_140"	175.114020293026	173.39359983839	-1	1
"Pmin_ref_seq_5660"	174.186643124059	172.468502435718	-1	1
"Pmin_ref_seq_1236"	173.198981070036	171.483108243151	-1	1
"Pmin_ref_seq_4239"	171.513293610338	169.799676863757	-1	1
"Pmin_ref_seq_9418"	171.361922594631	169.650550268973	-1	1
"Pmin_ref_seq_8948"	171.268412978829	169.559273534603	-1	1
"Pmin_ref_seq_1013"	169.556902479483	167.849984495251	1	-1
"Pmin_ref_seq_7250"	168.78413037968	167.079422550253	-1	1
"Pmin_ref_seq_3597"	168.742571292224	167.040062426897	-1	1
"Pmin_ref_seq_5341"	168.637307151708	166.93698617253	-1	1
"Pmin_ref_seq_1548"	165.831205385758	164.133061325833	1	-1
"Pmin_ref_seq_6226"	162.226839492414	160.530861494246	-1	1
"Pmin_ref_seq_3936"	162.216349685376	160.522526999235	1	-1
"Pmin_ref_seq_2106"	162.101847718002	160.410169700326	1	-1
"Pmin_ref_seq_4161"	161.721428347545	160.031884459382	0	-1
"Pmin_ref_seq_9766"	161.633052708444	159.945632513911	1	-1
"Pmin_ref_seq_799"	160.06235775556	158.377050920341	0	0
"Pmin_ref_seq_4664"	159.504199940801	157.820996230669	-1	1
"Pmin_ref_seq_3718"	159.312151749115	157.631041028489	-1	1
"Pmin_ref_seq_2971"	159.078999844317	157.399972074839	NA	-1
"Pmin_ref_seq_7915"	158.482827027729	156.805872266874	-1	1
"Pmin_ref_seq_8187"	158.151050018358	156.476158418067	NA	NA
"Pmin_ref_seq_5968"	157.974517498816	156.301679304156	-1	1
"Pmin_ref_seq_352"	157.017003159396	155.346208707247	-1	1
"Pmin_ref_seq_444"	156.873211204426	155.204450922187	-1	0
"Pmin_ref_seq_1427"	155.320780332917	153.654044737244	-1	1
"Pmin_ref_seq_186"	154.505866197423	152.841145892985	NA	0
"Pmin_ref_seq_8007"	153.33812528901	151.67541096727	-1	0
"Pmin_ref_seq_7560"	152.75497333138	151.094255769396	-1	1
"Pmin_ref_seq_7508"	152.583040848953	150.924310908204	1	-1
"Pmin_ref_seq_5456"	152.393692643333	150.736941268566	-1	1
"Pmin_ref_seq_7446"	150.839106140593	149.18432435869	NA	-1
"Pmin_ref_seq_5303"	149.941041383665	148.288220302527	1	-1
"Pmin_ref_seq_4440"	149.556172392672	147.905303200132	-1	1
"Pmin_ref_seq_6485"	149.281349471575	147.632423434321	0	-1
"Pmin_ref_seq_9200"	148.589229515521	146.942237978043	-1	1
"Pmin_ref_seq_410"	148.291342002284	146.646276385843	-1	1
"Pmin_ref_seq_5512"	148.151966800114	146.508818601719	-1	0
"Pmin_ref_seq_9436"	146.404068136002	144.762828927414	NA	-1
"Pmin_ref_seq_4172"	146.112881532007	144.473542958759	-1	1
"Pmin_ref_seq_4278"	145.061384959368	143.423938739797	-1	1
"Pmin_ref_seq_8088"	144.890273005788	143.254710930092	-1	1
"Pmin_ref_seq_8821"	144.787771282766	143.154085212068	1	-1
"Pmin_ref_seq_3982"	144.764027555682	143.13220942112	-1	1
"Pmin_ref_seq_3276"	144.08427032425	142.454312126072	-1	1
"Pmin_ref_seq_3048"	143.619390450389	141.991284257072	-1	1
"Pmin_ref_seq_982"	142.421292930512	140.795030877894	-1	1
"Pmin_ref_seq_6046"	141.861442760105	140.237017050527	1	-1
"Pmin_ref_seq_4695"	141.725936230337	140.103339131805	1	-1
"Pmin_ref_seq_2351"	140.966852723779	139.346076569138	-1	NA
"Pmin_ref_seq_4238"	140.896156083226	139.277193269349	-1	0
"Pmin_ref_seq_178"	139.795722900219	138.178565887205	-1	1
"Pmin_ref_seq_6154"	138.885442178838	137.27008348923	-1	1
"Pmin_ref_seq_9318"	138.40424920951	136.79068142752	-1	1
"Pmin_ref_seq_7068"	137.983798263969	136.372014034719	-1	1
"Pmin_ref_seq_397"	137.37765691441	135.767648943186	-1	1
"Pmin_ref_seq_5374"	136.705145944541	135.096906996056	-1	1
"Pmin_ref_seq_4496"	135.560574304517	133.954097202188	-1	1
"Pmin_ref_seq_9105"	134.286426605968	132.681704231206	-1	1
"Pmin_ref_seq_5571"	133.790027679938	132.187052971445	-1	1
"Pmin_ref_seq_7846"	133.173853643934	131.572619597018	NA	-1
"Pmin_ref_seq_5488"	130.589507093464	128.990006759356	-1	1
"Pmin_ref_seq_5844"	130.527849702868	128.930076188061	NA	-1
"Pmin_ref_seq_3470"	129.955595558823	128.35954202441	-1	1
"Pmin_ref_seq_5092"	129.919181205477	128.324840866508	-1	1
"Pmin_ref_seq_4978"	129.845887986542	128.253254111388	-1	1
"Pmin_ref_seq_4609"	129.192524416008	127.601590325731	-1	1
"Pmin_ref_seq_4709"	128.90433007205	127.315089139793	NA	-1
"Pmin_ref_seq_4760"	128.6585114547	127.070957105074	-1	1
"Pmin_ref_seq_679"	128.100240685713	126.514366394206	-1	1
"Pmin_ref_seq_7321"	127.869874291609	126.285673583992	-1	1
"Pmin_ref_seq_3332"	127.015080267722	125.43294820221	-1	1
"Pmin_ref_seq_8155"	127.013820966479	125.43294820221	-1	NA
"Pmin_ref_seq_232"	126.944654567064	125.365436259966	-1	1
"Pmin_ref_seq_7698"	125.814518751685	124.236948622966	1	-1
"Pmin_ref_seq_8262"	124.328012915135	122.752084733484	0	-1
"Pmin_ref_seq_458"	123.272359615149	121.698067196191	0	-1
"Pmin_ref_seq_6040"	123.177597243326	121.604934449102	-1	1
"Pmin_ref_seq_7644"	122.833272588209	121.262233326649	-1	1
"Pmin_ref_seq_4219"	122.541809436309	120.972387660723	NA	0
"Pmin_ref_seq_7632"	122.538908916087	120.971098624657	0	-1
"Pmin_ref_seq_4663"	121.415494433466	119.849289668752	0	-1
"Pmin_ref_seq_4394"	121.269986528428	119.705381376874	-1	1
"Pmin_ref_seq_4882"	121.11764949935	119.554638090802	-1	1
"Pmin_ref_seq_5992"	120.511784135834	118.950360643066	NA	-1
"Pmin_ref_seq_1541"	119.582454859465	118.022613497706	-1	1
"Pmin_ref_seq_3711"	119.142239559378	117.583974585855	1	-1
"Pmin_ref_seq_6565"	118.159812515373	116.603118228849	0	-1
"Pmin_ref_seq_6065"	118.034478250782	116.479348991111	1	-1
"Pmin_ref_seq_3110"	117.133741323003	115.581660983948	1	-1
"Pmin_ref_seq_3795"	117.133677008195	115.581660983948	-1	1
"Pmin_ref_seq_9811"	116.711782985957	115.161315250274	-1	1
"Pmin_ref_seq_1595"	116.563379136586	115.014454189317	-1	1
"Pmin_ref_seq_4186"	116.428048668592	114.880661048528	-1	1
"Pmin_ref_seq_1138"	114.79054756439	113.244691848848	-1	1
"Pmin_ref_seq_3382"	114.470622297576	112.926293101996	-1	1
"Pmin_ref_seq_8850"	114.294651344217	112.751843321757	0	NA
"Pmin_ref_seq_9553"	113.856306598106	112.315014439251	-1	1
"Pmin_ref_seq_5648"	113.72349298688	112.183711419051	-1	1
"Pmin_ref_seq_7536"	111.283997152817	109.745720939985	0	-1
"Pmin_ref_seq_2821"	110.794995651709	109.258219594019	-1	1
"Pmin_ref_seq_3998"	109.947325939298	108.412044872695	-1	1
"Pmin_ref_seq_511"	109.767191934371	108.233400730231	-1	1
"Pmin_ref_seq_2423"	109.460003171977	107.927696736742	-1	1
"Pmin_ref_seq_412"	109.446389102342	107.915562377166	-1	1
"Pmin_ref_seq_3507"	108.805976215607	107.276624175996	NA	-1
"Pmin_ref_seq_6970"	108.663274025393	107.135391680864	-1	1
"Pmin_ref_seq_6767"	108.518335457553	106.991917851282	NA	NA
"Pmin_ref_seq_5726"	108.034735553646	106.509777762133	1	-1
"Pmin_ref_seq_5310"	107.912406148844	106.38890328158	1	-1
"Pmin_ref_seq_6758"	106.963434122549	105.44138132168	1	-1
"Pmin_ref_seq_9958"	106.402114053383	104.881506493388	NA	-1
"Pmin_ref_seq_6132"	105.912681289852	104.393514177221	NA	-1
"Pmin_ref_seq_1044"	105.172806131248	103.655074704162	-1	1
"Pmin_ref_seq_5344"	104.616989606057	103.100689134077	-1	1
"Pmin_ref_seq_328"	103.915500287593	102.400626071351	-1	0
