"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Infected_fem"	"Infected_male"
"Pmin_ref_seq_2809"	32.1133146415546	30.5340963344558	-1	1
"Pmin_ref_seq_9105"	32.0160938617987	30.43852373308	-1	1
"Pmin_ref_seq_7107"	31.924752805774	30.3520900115501	-1	1
"Pmin_ref_seq_7321"	29.8703698686108	28.3041651038967	-1	1
"Pmin_ref_seq_5956"	29.6484916774709	28.0854802689231	-1	1
"Pmin_ref_seq_4348"	28.8041744976098	27.2474802110858	-1	1
"Pmin_ref_seq_4219"	28.3103075660556	26.7613826187865	-1	1
"Pmin_ref_seq_4855"	27.9611764915792	26.4183684691198	-1	1
"Pmin_ref_seq_5137"	27.8893997323723	26.3481075735178	-1	1
"Pmin_ref_seq_5660"	27.4366040185141	25.9013229519115	-1	1
"Pmin_ref_seq_5888"	27.2845263071669	25.7536995819906	-1	1
"Pmin_ref_seq_2900"	26.795923053444	25.2709652619318	-1	1
"Pmin_ref_seq_9916"	26.5695866980843	25.0475338972155	-1	1
"Pmin_ref_seq_6710"	26.4557463895365	24.9351388295418	-1	1
"Pmin_ref_seq_9954"	26.3346917462836	24.8183912743039	-1	1
"Pmin_ref_seq_3300"	26.2101380537376	24.6952638374959	-1	1
"Pmin_ref_seq_5354"	26.1121116583154	24.6000759782041	-1	1
"Pmin_ref_seq_3397"	26.0600161218969	24.5493927828089	-1	1
"Pmin_ref_seq_2655"	25.4795556929529	23.9717433311987	-1	1
"Pmin_ref_seq_1595"	25.4102511642827	23.903837497721	-1	1
"Pmin_ref_seq_349"	25.3142889139336	23.8106591958916	-1	1
"Pmin_ref_seq_8948"	24.9485711281602	23.4490841551901	-1	1
"Pmin_ref_seq_9534"	24.9324153853333	23.4343005919625	-1	1
"Pmin_ref_seq_3078"	23.2343625423066	21.7484060867861	-1	1
"Pmin_ref_seq_5323"	23.130003155142	21.6453768522138	-1	1
"Pmin_ref_seq_7302"	23.0951920159334	21.6118918040566	-1	1
"Pmin_ref_seq_9857"	22.8253154028693	21.3446552871587	-1	1
"Pmin_ref_seq_4721"	22.380606450281	20.9103490949701	-1	1
"Pmin_ref_seq_3601"	22.2284119442895	20.7632639947572	-1	1
"Pmin_ref_seq_2751"	21.9898434285665	20.5272278155496	-1	1
"Pmin_ref_seq_125"	21.2999651591114	19.8473337670011	-1	1
"Pmin_ref_seq_4440"	21.1628940255626	19.7139483230292	-1	1
"Pmin_ref_seq_7375"	21.0529334543372	19.6052093967216	-1	1
"Pmin_ref_seq_7250"	20.8519681112711	19.4090965564499	-1	1
"Pmin_ref_seq_4187"	20.7643310193939	19.3226641657111	-1	1
"Pmin_ref_seq_982"	20.7482135640361	19.3077480789807	-1	1
"Pmin_ref_seq_397"	20.7234237974211	19.2841563668687	-1	1
"Pmin_ref_seq_8021"	20.6778972713061	19.2398245993666	-1	1
"Pmin_ref_seq_9221"	20.4250677864492	18.9917415495342	-1	1
"Pmin_ref_seq_1427"	20.4075876599656	18.9754399705362	-1	1
"Pmin_ref_seq_9553"	20.2640198318743	18.8365546080945	0	1
"Pmin_ref_seq_1602"	20.2179655923494	18.7916631389614	-1	1
"Pmin_ref_seq_3421"	19.8976147364164	18.4782242774448	-1	1
"Pmin_ref_seq_1469"	19.8047368876318	18.3910235615518	-1	1
"Pmin_ref_seq_516"	19.5069161319958	18.094329381079	-1	1
"Pmin_ref_seq_8008"	19.1277030312026	17.7195935826406	-1	1
"Pmin_ref_seq_3062"	18.8919720932114	17.4882942594485	-1	1
"Pmin_ref_seq_7560"	18.7379713870419	17.3364925173789	-1	1
"Pmin_ref_seq_4130"	18.5967955695579	17.1964120207325	0	1
"Pmin_ref_seq_7241"	18.3986386224086	16.9993476388938	-1	1
"Pmin_ref_seq_873"	18.3721027791453	16.9739016192436	-1	1
"Pmin_ref_seq_4605"	18.3451961612967	16.9480820970362	-1	1
"Pmin_ref_seq_7991"	18.3226359887351	16.9276879862311	-1	1
"Pmin_ref_seq_5656"	18.1519960816768	16.760277049303	0	1
"Pmin_ref_seq_5488"	17.8956590211087	16.5092688222399	-1	1
"Pmin_ref_seq_2396"	17.8121253747366	16.4278485351813	-1	1
"Pmin_ref_seq_9811"	17.8106774480858	16.4274534441537	-1	1
"Pmin_ref_seq_1589"	17.8024605574148	16.4202868429472	-1	1
"Pmin_ref_seq_3388"	17.6681239710198	16.2869980121434	-1	1
"Pmin_ref_seq_5409"	17.289571654464	15.9146796947112	-1	1
"Pmin_ref_seq_6967"	17.1262192913154	15.7533856031019	-1	1
"Pmin_ref_seq_4687"	17.0889147217098	15.717106522714	-1	1
"Pmin_ref_seq_1687"	16.9584464840362	15.5876613584981	-1	1
"Pmin_ref_seq_52"	16.9219264669391	15.5531802863756	0	1
"Pmin_ref_seq_3782"	16.909377625867	15.5416473392917	-1	1
"Pmin_ref_seq_6154"	16.841063306564	15.4763665211362	-1	1
"Pmin_ref_seq_9817"	16.7813675772629	15.4186814180278	-1	1
"Pmin_ref_seq_9831"	16.6382868782543	15.28058693317	-1	1
"Pmin_ref_seq_5501"	16.5397555223366	15.1879644368627	-1	1
"Pmin_ref_seq_5580"	16.5326010760643	15.1827362491064	-1	1
"Pmin_ref_seq_5952"	16.2811669605866	14.9352054187735	-1	1
"Pmin_ref_seq_7"	16.2290816929881	14.885046072211	0	1
"Pmin_ref_seq_820"	16.0446522223132	14.7053943667946	0	1
"Pmin_ref_seq_6033"	15.9586202097574	14.6222039858504	-1	1
"Pmin_ref_seq_4278"	15.6389122004299	14.3099839979156	-1	1
"Pmin_ref_seq_591"	15.3895871364767	14.0643550795223	-1	1
"Pmin_ref_seq_9825"	15.3757891833417	14.051476268491	-1	1
"Pmin_ref_seq_4517"	15.2184762466675	13.8978205701191	-1	1
"Pmin_ref_seq_2516"	15.2062351291724	13.886488970196	-1	1
"Pmin_ref_seq_679"	15.1755516684067	13.8567131262327	-1	1
"Pmin_ref_seq_5565"	14.74743588535	13.4357907909762	-1	1
"Pmin_ref_seq_1054"	14.5264876261656	13.2183950627001	-1	1
"Pmin_ref_seq_388"	14.4412891660483	13.1340802132271	-1	1
"Pmin_ref_seq_652"	14.4368314343612	13.13050429805	-1	1
"Pmin_ref_seq_3417"	14.4016316876984	13.0970628310435	-1	1
"Pmin_ref_seq_9157"	14.3772950009964	13.0736026218981	-1	1
"Pmin_ref_seq_5591"	14.1195398311893	12.8210694927458	-1	1
"Pmin_ref_seq_7408"	13.9846615984716	12.6887789210018	-1	1
"Pmin_ref_seq_410"	13.8802113769108	12.5869010336063	-1	1
"Pmin_ref_seq_3459"	13.8254125285057	12.534659373052	-1	1
"Pmin_ref_seq_630"	13.8239451219802	12.5340410273676	0	1
"Pmin_ref_seq_1807"	13.756527184913	12.4683162483198	-1	1
"Pmin_ref_seq_409"	13.5722133949621	12.2873690991189	-1	1
"Pmin_ref_seq_459"	13.5344090431002	12.2504023453601	0	1
"Pmin_ref_seq_4742"	13.5164079616814	12.2340716293925	-1	1
"Pmin_ref_seq_7255"	13.2487282161903	11.9746486816833	-1	1
"Pmin_ref_seq_5361"	13.0669214196198	11.7952886210599	-1	1
"Pmin_ref_seq_3654"	12.9696751871547	11.7028948913891	-1	1
"Pmin_ref_seq_455"	12.9618925656432	11.6959157751613	-1	1
"Pmin_ref_seq_7866"	12.5479421382607	11.289919681524	-1	1
"Pmin_ref_seq_232"	11.7641295062198	10.5223886599972	-1	1
"Pmin_ref_seq_4527"	11.7299593049783	10.4904530940795	-1	1
"Pmin_ref_seq_5640"	11.6737438440489	10.4357456016161	-1	1
"Pmin_ref_seq_7092"	11.6698417288338	10.4325955116659	-1	1
"Pmin_ref_seq_4760"	11.5469525476381	10.3112064856125	-1	1
"Pmin_ref_seq_7239"	11.3723455939733	10.1432868331719	-1	1
"Pmin_ref_seq_7068"	11.2864950292243	10.0596426803588	0	1
"Pmin_ref_seq_741"	11.2235350991846	9.99887800932464	-1	1
"Pmin_ref_seq_6883"	11.1696620155826	9.94863921037781	-1	1
"Pmin_ref_seq_7959"	10.9796916532268	9.76370628871362	-1	1
"Pmin_ref_seq_5376"	10.9707954899999	9.75552501368417	-1	1
"Pmin_ref_seq_2895"	10.8913457687329	9.67821292338697	-1	1
"Pmin_ref_seq_4556"	10.8022470292247	9.59124134477736	-1	1
"Pmin_ref_seq_7418"	10.7845336266067	9.57423468679359	-1	1
"Pmin_ref_seq_2506"	10.7599601750915	9.55036683166741	-1	1
"Pmin_ref_seq_7776"	10.6920485723936	9.48526620630332	-1	1
"Pmin_ref_seq_3983"	10.6543918377255	9.45248532296769	-1	1
"Pmin_ref_seq_4394"	10.6089696162616	9.40844620611841	-1	1
"Pmin_ref_seq_4567"	10.532821776358	9.33367708001363	-1	1
"Pmin_ref_seq_6067"	10.4586191072945	9.26084876172337	0	1
"Pmin_ref_seq_2156"	10.3904723782464	9.19475543830635	-1	1
"Pmin_ref_seq_7171"	10.2953506044692	9.10371157694952	-1	1
"Pmin_ref_seq_3749"	10.277802885575	9.08683980291078	-1	1
"Pmin_ref_seq_7916"	10.2381613447615	9.04787315653278	-1	1
"Pmin_ref_seq_5179"	10.2331542078695	9.04353986691626	-1	1
"Pmin_ref_seq_4989"	10.2269021508034	9.03863237588358	-1	1
"Pmin_ref_seq_3371"	10.1952186591904	9.00761960947252	-1	1
"Pmin_ref_seq_5331"	10.0498752577467	8.86428219072644	-1	1
"Pmin_ref_seq_5521"	9.98859292665043	8.80433205233702	-1	1
"Pmin_ref_seq_140"	9.96211942612964	8.77918667053294	-1	1
"Pmin_ref_seq_7425"	9.95827303221107	8.77666434618237	-1	1
"Pmin_ref_seq_9870"	9.94272340380236	8.76243476280789	-1	1
"Pmin_ref_seq_4495"	9.92065899882168	8.74102887877506	-1	1
"Pmin_ref_seq_5543"	9.73417560814219	8.55977801502925	-1	1
"Pmin_ref_seq_7879"	9.59665960161888	8.42550061025437	-1	1
"Pmin_ref_seq_6093"	9.56033948252306	8.3904691997656	-1	1
"Pmin_ref_seq_8039"	9.5359228685123	8.36733748160896	-1	1
"Pmin_ref_seq_9832"	9.41898125204929	8.25231610916704	-1	1
"Pmin_ref_seq_960"	9.34223634677874	8.17938640689701	-1	1
"Pmin_ref_seq_7333"	9.26575500201275	8.10731418103608	-1	1
"Pmin_ref_seq_9843"	9.24432384742566	8.08650926229203	-1	1
"Pmin_ref_seq_9410"	9.23116536825182	8.07397611725345	-1	1
"Pmin_ref_seq_1627"	9.18741625357541	8.03147497608493	-1	1
"Pmin_ref_seq_7885"	9.05007014503372	7.900929347135	-1	1
"Pmin_ref_seq_755"	9.0209737898492	7.87427972789757	-1	1
"Pmin_ref_seq_5374"	9.00715924833331	7.861683404521	-1	1
"Pmin_ref_seq_8053"	8.95915918334741	7.81610957200122	-1	1
"Pmin_ref_seq_7975"	8.95293921630018	7.81109765714296	-1	1
"Pmin_ref_seq_8965"	8.95142095177144	7.81018216090239	-1	1
"Pmin_ref_seq_5968"	8.88785387978596	7.74841839039463	-1	1
"Pmin_ref_seq_412"	8.83249003165526	7.69485038692581	-1	1
"Pmin_ref_seq_4867"	8.80837043201228	7.67132775573683	0	1
"Pmin_ref_seq_2366"	8.77033091373912	7.63447971827109	-1	1
"Pmin_ref_seq_7992"	8.76776420376253	7.63250752513191	-1	1
"Pmin_ref_seq_5465"	8.63418338277201	7.50365376557835	-1	1
"Pmin_ref_seq_9830"	8.6082002508951	7.48059913085249	-1	1
"Pmin_ref_seq_2058"	8.54603960645604	7.42018615268296	-1	1
"Pmin_ref_seq_7102"	8.38660543801427	7.265953177927	0	1
"Pmin_ref_seq_7986"	8.27259026944297	7.15537118519409	-1	1
"Pmin_ref_seq_1018"	8.25203122176448	7.13595052475169	-1	1
"Pmin_ref_seq_5906"	8.21690084996443	7.10365313417738	0	1
"Pmin_ref_seq_2729"	8.1530978455916	7.04210328392144	-1	1
"Pmin_ref_seq_7518"	8.10617709280542	6.9985404948895	-1	1
"Pmin_ref_seq_2821"	8.08307810629858	6.97599865340058	-1	1
"Pmin_ref_seq_3945"	8.04345243341288	6.93748513088424	-1	1
"Pmin_ref_seq_2302"	8.00460922309547	6.90140989986605	-1	1
"Pmin_ref_seq_7653"	7.92035232560801	6.821545398676	-1	1
"Pmin_ref_seq_5920"	7.86586011304401	6.76814437885163	-1	1
"Pmin_ref_seq_3673"	7.80288224809827	6.70679817950172	0	1
"Pmin_ref_seq_7387"	7.78011064279233	6.68511095548801	-1	1
"Pmin_ref_seq_4776"	7.75044155049704	6.65598304018724	-1	1
"Pmin_ref_seq_2876"	7.56960806821756	6.4831873163004	-1	1
"Pmin_ref_seq_313"	7.50073041199061	6.41801030495205	-1	1
"Pmin_ref_seq_2257"	7.47762954411542	6.39805651231104	-1	1
"Pmin_ref_seq_6970"	7.44561129670633	6.36760329175559	-1	1
"Pmin_ref_seq_4485"	7.42925974260125	6.35332970564304	-1	1
"Pmin_ref_seq_7012"	7.18809749971246	6.12190426604717	-1	1
"Pmin_ref_seq_3044"	7.16969965220315	6.10552874806832	-1	1
"Pmin_ref_seq_7995"	7.13335379582575	6.07269946541376	-1	1
"Pmin_ref_seq_8124"	7.06413950276841	6.0059796908855	-1	1
"Pmin_ref_seq_1525"	7.03311968441173	5.97711449253561	-1	1
"Pmin_ref_seq_5571"	6.97307724915408	5.91887910197765	-1	1
"Pmin_ref_seq_4524"	6.924272015373	5.87056654491634	-1	1
"Pmin_ref_seq_8038"	6.71354345984408	5.66861191369492	-1	1
"Pmin_ref_seq_5431"	6.63670501193582	5.59513824340743	-1	1
"Pmin_ref_seq_7974"	6.62002263617967	5.57893442911227	-1	1
"Pmin_ref_seq_9508"	6.50555193743031	5.46684865937612	-1	1
"Pmin_ref_seq_5391"	6.42750477460046	5.39259034920883	-1	1
"Pmin_ref_seq_9083"	6.34466418871404	5.31397308167949	-1	1
"Pmin_ref_seq_9818"	6.28352305911483	5.25701459579246	-1	1
"Pmin_ref_seq_1908"	6.27592276346037	5.25033833129914	-1	1
"Pmin_ref_seq_107"	6.12079599871728	5.10207983540489	-1	1
"Pmin_ref_seq_2180"	6.10498758704134	5.0867254692297	-1	1
"Pmin_ref_seq_3609"	6.08189924361518	5.06544857569524	-1	1
"Pmin_ref_seq_6037"	6.07260629071649	5.05660730716582	-1	1
"Pmin_ref_seq_5767"	6.06122998452671	5.04613296284105	-1	1
"Pmin_ref_seq_1011"	6.05676171265076	5.04211497040607	-1	1
"Pmin_ref_seq_9485"	5.99121512337844	4.9801539080583	-1	1
"Pmin_ref_seq_8083"	5.92657479199383	4.9195122241923	-1	1
"Pmin_ref_seq_2247"	5.92226475132842	4.91564421357207	0	1
"Pmin_ref_seq_417"	5.91580449701068	4.91097179705792	-1	1
"Pmin_ref_seq_3"	5.88655889150648	4.88345849040327	-1	1
"Pmin_ref_seq_2057"	5.88458367764623	4.88192129421192	-1	1
"Pmin_ref_seq_7295"	5.66523538882748	4.67466150500091	-1	1
"Pmin_ref_seq_1819"	5.63938409017078	4.65050999122211	-1	1
"Pmin_ref_seq_9963"	5.630537663436	4.64293405144479	-1	1
"Pmin_ref_seq_3999"	5.59378915115414	4.60787376084918	-1	1
"Pmin_ref_seq_7379"	5.56698441404706	4.58275070825151	-1	1
"Pmin_ref_seq_7897"	5.5511784646615	4.56820176258545	-1	1
"Pmin_ref_seq_1766"	5.54610917293289	4.56355066490159	-1	1
"Pmin_ref_seq_1803"	5.53175070380654	4.55044436718156	0	1
"Pmin_ref_seq_8040"	5.49179608856048	4.51339752116555	-1	1
"Pmin_ref_seq_4439"	5.48781495076666	4.50983019424811	-1	1
"Pmin_ref_seq_7301"	5.48079810953572	4.50322676997547	-1	1
"Pmin_ref_seq_1938"	5.45982456580042	4.48431442840973	-1	1
"Pmin_ref_seq_3074"	5.45356486198227	4.47887647409295	-1	1
"Pmin_ref_seq_2426"	5.43231031408316	4.45844212375944	0	1
"Pmin_ref_seq_7073"	5.42574073937845	4.4522820676913	-1	1
"Pmin_ref_seq_9751"	5.40797868517128	4.43532027010075	-1	1
"Pmin_ref_seq_8018"	5.38245476117418	4.4129309270233	-1	1
"Pmin_ref_seq_7393"	5.35005976658272	4.38390715567715	-1	1
"Pmin_ref_seq_9856"	5.18467484299123	4.22491490657888	-1	1
"Pmin_ref_seq_3024"	5.16157574540665	4.20300402993224	-1	1
"Pmin_ref_seq_8156"	5.13454621577289	4.17794767262459	-1	1
"Pmin_ref_seq_3118"	5.06199200852387	4.10931311727009	-1	1
"Pmin_ref_seq_9526"	4.96320002770034	4.01748857703731	-1	1
"Pmin_ref_seq_7590"	4.94270069850859	3.99890497429511	-1	1
"Pmin_ref_seq_2813"	4.93474349460606	3.99285508343579	0	1
"Pmin_ref_seq_215"	4.76799412636128	3.83439978550124	-1	1
"Pmin_ref_seq_8917"	4.7590026309631	3.82689943141999	-1	1
"Pmin_ref_seq_9049"	4.71662156143542	3.7860044009193	-1	1
"Pmin_ref_seq_9701"	4.70068255467985	3.77043611077344	-1	1
"Pmin_ref_seq_5622"	4.63806896332091	3.7100401981835	-1	1
"Pmin_ref_seq_5523"	4.60209566879665	3.67627331559506	-1	1
"Pmin_ref_seq_7932"	4.58823992410424	3.66388230916093	-1	1
"Pmin_ref_seq_7139"	4.5587755397319	3.63660581093676	-1	1
"Pmin_ref_seq_3394"	4.54040178880884	3.61932188362677	-1	1
"Pmin_ref_seq_1818"	4.39841341734378	3.48631056766183	-1	1
"Pmin_ref_seq_4528"	4.36425507385442	3.45427938507108	-1	1
"Pmin_ref_seq_7063"	4.3429392094154	3.43472823042264	-1	1
"Pmin_ref_seq_1611"	4.32095673932892	3.41344964133612	-1	1
"Pmin_ref_seq_6932"	4.31494967488874	3.40814531892938	-1	1
"Pmin_ref_seq_9840"	4.27622433532577	3.37117187557785	-1	1
"Pmin_ref_seq_3331"	4.24175679909072	3.33949275651029	-1	1
"Pmin_ref_seq_2015"	4.2396099358331	3.33769318993803	-1	1
"Pmin_ref_seq_1705"	4.23791056807321	3.33634084135914	-1	1
"Pmin_ref_seq_7359"	4.22207928790487	3.32253498249046	-1	1
"Pmin_ref_seq_4149"	4.2010902064751	3.3026312374597	-1	1
"Pmin_ref_seq_7261"	4.1891972243819	3.29245687447475	-1	1
"Pmin_ref_seq_4094"	4.16009956822854	3.26507106319407	-1	1
"Pmin_ref_seq_9183"	4.0032887202241	3.1190590803482	-1	1
"Pmin_ref_seq_4096"	3.96673701599152	3.08350613734209	-1	1
"Pmin_ref_seq_9973"	3.96534807523383	3.08244960722588	-1	1
"Pmin_ref_seq_4373"	3.90285238716782	3.02425226278518	-1	1
"Pmin_ref_seq_7256"	3.86226078780723	2.98693837318583	-1	1
"Pmin_ref_seq_6190"	3.83556112776894	2.96251847944243	-1	1
"Pmin_ref_seq_2854"	3.79038353694303	2.92250727795217	-1	1
"Pmin_ref_seq_383"	3.71828691354645	2.8570995906815	0	1
"Pmin_ref_seq_9544"	3.65900040126725	2.80190280675205	-1	1
"Pmin_ref_seq_3286"	3.65478585477956	2.79862659944517	0	1
"Pmin_ref_seq_7946"	3.64044562076832	2.78584577278945	-1	1
"Pmin_ref_seq_4321"	3.62032608624233	2.76696974514567	-1	1
"Pmin_ref_seq_5719"	3.61130522733466	2.75918907968222	-1	1
"Pmin_ref_seq_5593"	3.52044127718131	2.67599542903298	-1	1
"Pmin_ref_seq_3921"	3.51434401449539	2.67080959266668	0	1
"Pmin_ref_seq_1446"	3.4668797878008	2.62757357930488	0	1
"Pmin_ref_seq_7973"	3.45701718483283	2.61831166036339	-1	1
"Pmin_ref_seq_9084"	3.44094544347107	2.60343880032032	-1	1
"Pmin_ref_seq_6879"	3.4181648728275	2.58155522376203	-1	1
"Pmin_ref_seq_8063"	3.37333208473895	2.54147536389864	-1	1
"Pmin_ref_seq_3660"	3.35390453783183	2.52328805481062	0	1
"Pmin_ref_seq_350"	3.34300935594891	2.51321579567237	-1	1
"Pmin_ref_seq_3344"	3.32285448969087	2.49519744142027	-1	1
"Pmin_ref_seq_9269"	3.24482301115604	2.42607178347564	-1	1
"Pmin_ref_seq_374"	3.22645042185139	2.41083089988177	-1	1
"Pmin_ref_seq_7119"	3.22648556837035	2.41083089988177	0	1
"Pmin_ref_seq_3946"	3.19824964947372	2.38461774873961	-1	1
"Pmin_ref_seq_9248"	3.1607486056701	2.34965892379655	-1	1
"Pmin_ref_seq_7330"	3.15284642986971	2.34288186386354	0	1
"Pmin_ref_seq_7147"	3.11173367919882	2.3056842219648	-1	1
"Pmin_ref_seq_1300"	3.0807747493306	2.2780532354455	-1	1
"Pmin_ref_seq_9484"	3.06610845715572	2.26614088072889	-1	1
"Pmin_ref_seq_7384"	3.01411173349598	2.21989242553305	-1	1
"Pmin_ref_seq_1844"	2.99902596671001	2.20694745154074	-1	1
"Pmin_ref_seq_3171"	2.98612908290145	2.19620187606634	0	1
"Pmin_ref_seq_6056"	2.86029998785351	2.08539994655928	-1	1
"Pmin_ref_seq_196"	2.85970089319049	2.08505990020809	-1	1
"Pmin_ref_seq_9858"	2.84716748812954	2.07536587483069	-1	1
