"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Infected_fem"	"Infected_male"
"Pmin_ref_seq_5585"	101.927290198267	99.9012439962782	-1	0
"Pmin_ref_seq_7446"	97.8993834850193	95.8779330347196	1	-1
"Pmin_ref_seq_7341"	96.9554251492921	94.9385223267432	-1	1
"Pmin_ref_seq_1653"	96.9482393765994	94.9358370552772	-1	1
"Pmin_ref_seq_7497"	96.8156517396869	94.8077037597909	NA	-1
"Pmin_ref_seq_5310"	96.7106040405847	94.7070651795938	1	-1
"Pmin_ref_seq_2472"	96.6467360680151	94.6475620124266	-1	0
"Pmin_ref_seq_7210"	96.0246266125964	94.0297739307905	-1	1
"Pmin_ref_seq_5344"	94.0500464162822	92.0594725324556	-1	1
"Pmin_ref_seq_4609"	93.5891004896251	91.6027636587418	-1	0
"Pmin_ref_seq_722"	93.2874868702465	91.3053461539567	-1	0
"Pmin_ref_seq_352"	92.0248060479625	90.0468212914439	-1	0
"Pmin_ref_seq_7508"	91.9235143475218	89.9496461571981	NA	-1
"Pmin_ref_seq_1077"	91.3571067428816	89.3873164649784	-1	1
"Pmin_ref_seq_4238"	89.6489552010029	87.6832049009014	-1	NA
"Pmin_ref_seq_4217"	87.6958451626128	85.7340976049649	-1	1
"Pmin_ref_seq_5559"	86.5081707823124	84.5503894118821	-1	1
"Pmin_ref_seq_6587"	86.213178421632	84.2593273448302	1	-1
"Pmin_ref_seq_9418"	85.6796382100521	83.7296821771338	NA	0
"Pmin_ref_seq_3608"	85.0485363233478	83.1024407112428	0	NA
"Pmin_ref_seq_1552"	83.9014238588493	81.9591546545973	NA	NA
"Pmin_ref_seq_3145"	82.5692121777238	80.6307359624889	-1	1
"Pmin_ref_seq_328"	82.1121249040578	80.1774088376963	0	NA
"Pmin_ref_seq_9318"	80.9622755819307	79.0312873880884	-1	0
"Pmin_ref_seq_5935"	78.1310548567679	76.2037628084855	NA	-1
"Pmin_ref_seq_2591"	77.579362920541	75.6557358263451	1	-1
"Pmin_ref_seq_1224"	77.4990659005776	75.5790730910367	-1	1
"Pmin_ref_seq_6512"	76.7571256024224	74.8407369171503	-1	0
"Pmin_ref_seq_2423"	76.1195696527102	74.2067554277965	-1	NA
"Pmin_ref_seq_7661"	76.0395428402188	74.1302738960697	1	-1
"Pmin_ref_seq_6565"	75.2005667412872	73.2948143708609	0	-1
"Pmin_ref_seq_3597"	74.5738428068783	72.6715787642978	-1	0
"Pmin_ref_seq_3409"	73.5396897440738	71.6408862336029	NA	-1
"Pmin_ref_seq_949"	71.8623228276847	69.9669524930522	-1	0
"Pmin_ref_seq_228"	71.8147931363933	69.9228290504527	-1	0
"Pmin_ref_seq_9200"	69.976778164178	68.0881938188888	NA	0
"Pmin_ref_seq_7621"	69.5844260334799	67.6991953301982	1	-1
"Pmin_ref_seq_6767"	69.4951259158344	67.6132231559017	0	NA
"Pmin_ref_seq_7680"	69.4710273928478	67.5924272684652	0	-1
"Pmin_ref_seq_8145"	68.3973670644013	66.5220446497799	-1	0
